Id,Variable,Input_file,Distribution,Min,Max,Mean,SD,Alpha,Beta,Value
64,Cirrhosis prevalence year 0 in Hispanic population,ras,beta,0.003015,0.00675,0.0045,0.00093375,2,3.03030303,0
65,Cirrhosis prevalence year 0 in NHW population,ras,beta,0.00201,0.0045,0.003,0.0006225,2,3.03030303,0
66,Cirrhosis prevalence year 0 in NHB population,ras,beta,0.001608,0.0036,0.0024,0.000498,2,3.03030303,0
67,HCC prevalence year 0 in Hispanic population,ras,beta,0.000243145,0.000544355,0.000362903,7.53E-05,2,3.03030303,0
68,HCC prevalence year 0 in NHW population,ras,beta,0.000162096,0.000362903,0.000241935,5.02E-05,2,3.03030303,0
69,HCC prevalence year 0 in NHB population,ras,beta,0.000129677,0.000290322,0.000193548,4.02E-05,2,3.03030303,0
70,Base-case percentage above sugar cut-off Hispanic MALE,ras,beta,0.42612,0.954,0.636,0.13197,2,3.03030303,0
71,Base-case percentage above sugar cut-off NHW MALE,ras,beta,0.42612,0.954,0.636,0.13197,2,3.03030303,0
72,Base-case percentage above sugar cut-off NHB MALE,ras,beta,0.44153,0.9885,0.659,0.1367425,2,3.03030303,0
73,Base-case percentage above sugar cut-off Hispanic FEMALE,ras,beta,0.31624,0.708,0.472,0.09794,2,3.03030303,0
74,Base-case percentage above sugar cut-off NHW FEMALE,ras,beta,0.33969,0.7605,0.507,0.1052025,2,3.03030303,0
75,Base-case percentage above sugar cut-off NHB FEMALE,ras,beta,0.39061,0.8745,0.583,0.1209725,2,3.03030303,0
