,from_id,from_name,to_id,to_name,tp_base,,,,from_id,to_id,tp_base
140,19,XDR,15,Isoniazid,0,,,140,19,15,0
141,19,XDR,16,INH resistant,0,,,141,19,16,0
142,19,XDR,17,RIF resistant,1,,,142,19,17,1
143,19,XDR,18,MDR,0,,,143,19,18,0
144,19,XDR,19,XDR,0,,,144,19,19,0
145,19,XDR,20,Death,0,,,145,19,20,0
146,20,Death,12,Uninitialized,0,,,146,20,12,0
147,20,Death,13,Uninfected,0,,,147,20,13,0
148,20,Death,14,Sensitive,0,,,148,20,14,0
149,20,Death,15,Isoniazid,1,,,149,20,15,1
150,20,Death,16,INH resistant,0,,,150,20,16,0
151,20,Death,17,RIF resistant,0,,,151,20,17,0
152,20,Death,18,MDR,0,,,152,20,18,0
153,20,Death,19,XDR,0,,,153,20,19,0
154,20,Death,20,Death,0,,,154,20,20,0
155,21,Uninitialized,21,Uninitialized,0,,,155,21,21,0
156,21,Uninitialized,22,Uninfected,0,,,156,21,22,0
157,21,Uninitialized,23,Acute,0,,,157,21,23,0
158,21,Uninitialized,24,Early,0,,,158,21,24,0
159,21,Uninitialized,25,Medium,0,,,159,21,25,0
160,21,Uninitialized,26,Late,1,,,160,21,26,1
161,21,Uninitialized,27,Advanced,0,,,161,21,27,0
162,21,Uninitialized,28,AIDS,0,,,162,21,28,0
163,21,Uninitialized,29,Death,0,,,163,21,29,0
164,22,Uninfected,21,Uninitialized,0,,,164,22,21,0
165,22,Uninfected,22,Uninfected,0,,,165,22,22,0
166,22,Uninfected,23,Acute,0,,,166,22,23,0
167,22,Uninfected,24,Early,0,,,167,22,24,0
168,22,Uninfected,25,Medium,0,,,168,22,25,0
169,22,Uninfected,26,Late,0,,,169,22,26,0
170,22,Uninfected,27,Advanced,1,,,170,22,27,1
171,22,Uninfected,28,AIDS,0,,,171,22,28,0
172,22,Uninfected,29,Death,0,,,172,22,29,0
173,23,Acute,21,Uninitialized,0,,,173,23,21,0
174,23,Acute,22,Uninfected,0,,,174,23,22,0
175,23,Acute,23,Acute,0,,,175,23,23,0
176,23,Acute,24,Early,0,,,176,23,24,0
177,23,Acute,25,Medium,1,,,177,23,25,1
178,23,Acute,26,Late,0,,,178,23,26,0
179,23,Acute,27,Advanced,0,,,179,23,27,0
180,23,Acute,28,AIDS,0,,,180,23,28,0
181,23,Acute,29,Death,0,,,181,23,29,0
182,24,Early,21,Uninitialized,0,,,182,24,21,0
183,24,Early,22,Uninfected,1,,,183,24,22,1
184,24,Early,23,Acute,0,,,184,24,23,0
185,24,Early,24,Early,0,,,185,24,24,0
186,24,Early,25,Medium,0,,,186,24,25,0
187,24,Early,26,Late,0,,,187,24,26,0
188,24,Early,27,Advanced,0,,,188,24,27,0
189,24,Early,28,AIDS,0,,,189,24,28,0
190,24,Early,29,Death,0,,,190,24,29,0
191,25,Medium,21,Uninitialized,0,,,191,25,21,0
192,25,Medium,22,Uninfected,0,,,192,25,22,0
193,25,Medium,23,Acute,0,,,193,25,23,0
194,25,Medium,24,Early,0,,,194,25,24,0
195,25,Medium,25,Medium,0,,,195,25,25,0
196,25,Medium,26,Late,1,,,196,25,26,1
197,25,Medium,27,Advanced,0,,,197,25,27,0
198,25,Medium,28,AIDS,0,,,198,25,28,0
199,25,Medium,29,Death,0,,,199,25,29,0
200,26,Late,21,Uninitialized,1,,,200,26,21,1
201,26,Late,22,Uninfected,0,,,201,26,22,0
202,26,Late,23,Acute,0,,,202,26,23,0
203,26,Late,24,Early,0,,,203,26,24,0
204,26,Late,25,Medium,0,,,204,26,25,0
205,26,Late,26,Late,0,,,205,26,26,0
206,26,Late,27,Advanced,0,,,206,26,27,0
207,26,Late,28,AIDS,0,,,207,26,28,0
208,26,Late,29,Death,0,,,208,26,29,0
209,27,Advanced,21,Uninitialized,0,,,209,27,21,0
210,27,Advanced,22,Uninfected,0,,,210,27,22,0
211,27,Advanced,23,Acute,0,,,211,27,23,0
212,27,Advanced,24,Early,0,,,212,27,24,0
213,27,Advanced,25,Medium,1,,,213,27,25,1
214,27,Advanced,26,Late,0,,,214,27,26,0
215,27,Advanced,27,Advanced,0,,,215,27,27,0
216,27,Advanced,28,AIDS,0,,,216,27,28,0
217,27,Advanced,29,Death,0,,,217,27,29,0
218,28,AIDS,21,Uninitialized,0,,,218,28,21,0
219,28,AIDS,22,Uninfected,0,,,219,28,22,0
220,28,AIDS,23,Acute,0,,,220,28,23,0
221,28,AIDS,24,Early,0,,,221,28,24,0
222,28,AIDS,25,Medium,0,,,222,28,25,0
223,28,AIDS,26,Late,1,,,223,28,26,1
224,28,AIDS,27,Advanced,0,,,224,28,27,0
225,28,AIDS,28,AIDS,0,,,225,28,28,0
226,28,AIDS,29,Death,0,,,226,28,29,0
227,29,Death,21,Uninitialized,0,,,227,29,21,0
228,29,Death,22,Uninfected,0,,,228,29,22,0
229,29,Death,23,Acute,1,,,229,29,23,1
230,29,Death,24,Early,0,,,230,29,24,0
231,29,Death,25,Medium,0,,,231,29,25,0
232,29,Death,26,Late,0,,,232,29,26,0
233,29,Death,27,Advanced,0,,,233,29,27,0
234,29,Death,28,AIDS,0,,,234,29,28,0
235,29,Death,29,Death,0,,,235,29,29,0
236,30,Uninitialized,30,Uninitialized,1,,,236,30,30,1
237,30,Uninitialized,31,Uninfected,0,,,237,30,31,0
238,30,Uninitialized,32,Untreated,0,,,238,30,32,0
239,30,Uninitialized,33,Treated,0,,,239,30,33,0
240,30,Uninitialized,34,Death,0,,,240,30,34,0
241,31,Uninfected,30,Uninitialized,0,,,241,31,30,0
242,31,Uninfected,31,Uninfected,1,,,242,31,31,1
243,31,Uninfected,32,Untreated,0,,,243,31,32,0
244,31,Uninfected,33,Treated,0,,,244,31,33,0
245,31,Uninfected,34,Death,0,,,245,31,34,0
246,32,Untreated,30,Uninitialized,0,,,246,32,30,0
247,32,Untreated,31,Uninfected,0,,,247,32,31,0
248,32,Untreated,32,Untreated,0,,,248,32,32,0
249,32,Untreated,33,Treated,1,,,249,32,33,1
250,32,Untreated,34,Death,0,,,250,32,34,0
251,33,Treated,30,Uninitialized,0,,,251,33,30,0
252,33,Treated,31,Uninfected,1,,,252,33,31,1
253,33,Treated,32,Untreated,0,,,253,33,32,0
254,33,Treated,33,Treated,0,,,254,33,33,0
255,33,Treated,34,Death,0,,,255,33,34,0
256,34,Death,30,Uninitialized,1,,,256,34,30,1
257,34,Death,31,Uninfected,0,,,257,34,31,0
258,34,Death,32,Untreated,0,,,258,34,32,0
259,34,Death,33,Treated,0,,,259,34,33,0
260,34,Death,34,Death,0,,,260,34,34,0
261,35,Uninitialized,35,Uninitialized,0,,,261,35,35,0
262,35,Uninitialized,36,GenPop Male,0,,,262,35,36,0
263,35,Uninitialized,37,GenPop Female,0,,,263,35,37,0
264,35,Uninitialized,38,FSW,0,,,264,35,38,0
265,35,Uninitialized,39,IDU male,0,,,265,35,39,0
266,35,Uninitialized,40,IDU female,1,,,266,35,40,1
267,35,Uninitialized,41,MSM,0,,,267,35,41,0
268,35,Uninitialized,42,Death,0,,,268,35,42,0
269,36,GenPop Male,35,Uninitialized,0,,,269,36,35,0
270,36,GenPop Male,36,GenPop Male,0,,,270,36,36,0
271,36,GenPop Male,37,GenPop Female,1,,,271,36,37,1
272,36,GenPop Male,38,FSW,0,,,272,36,38,0
273,36,GenPop Male,39,IDU male,0,,,273,36,39,0
274,36,GenPop Male,40,IDU female,0,,,274,36,40,0
275,36,GenPop Male,41,MSM,0,,,275,36,41,0
276,36,GenPop Male,42,Death,0,,,276,36,42,0
277,37,GenPop Female,35,Uninitialized,0,,,277,37,35,0
278,37,GenPop Female,36,GenPop Male,0,,,278,37,36,0
279,37,GenPop Female,37,GenPop Female,0,,,279,37,37,0
280,37,GenPop Female,38,FSW,1,,,280,37,38,1
281,37,GenPop Female,39,IDU male,0,,,281,37,39,0
282,37,GenPop Female,40,IDU female,0,,,282,37,40,0
283,37,GenPop Female,41,MSM,0,,,283,37,41,0
284,37,GenPop Female,42,Death,0,,,284,37,42,0
285,38,FSW,35,Uninitialized,0,,,285,38,35,0
286,38,FSW,36,GenPop Male,0,,,286,38,36,0
287,38,FSW,37,GenPop Female,0,,,287,38,37,0
288,38,FSW,38,FSW,0,,,288,38,38,0
289,38,FSW,39,IDU male,1,,,289,38,39,1
290,38,FSW,40,IDU female,0,,,290,38,40,0
291,38,FSW,41,MSM,0,,,291,38,41,0
292,38,FSW,42,Death,0,,,292,38,42,0
293,39,IDU male,35,Uninitialized,0,,,293,39,35,0
294,39,IDU male,36,GenPop Male,0,,,294,39,36,0
295,39,IDU male,37,GenPop Female,0,,,295,39,37,0
296,39,IDU male,38,FSW,0,,,296,39,38,0
297,39,IDU male,39,IDU male,0,,,297,39,39,0
298,39,IDU male,40,IDU female,0,,,298,39,40,0
299,39,IDU male,41,MSM,0,,,299,39,41,0
300,39,IDU male,42,Death,1,,,300,39,42,1
301,40,IDU female,35,Uninitialized,0,,,301,40,35,0
302,40,IDU female,36,GenPop Male,0,,,302,40,36,0
303,40,IDU female,37,GenPop Female,1,,,303,40,37,1
304,40,IDU female,38,FSW,0,,,304,40,38,0
305,40,IDU female,39,IDU male,0,,,305,40,39,0
306,40,IDU female,40,IDU female,0,,,306,40,40,0
307,40,IDU female,41,MSM,0,,,307,40,41,0
308,40,IDU female,42,Death,0,,,308,40,42,0
309,41,MSM,35,Uninitialized,0,,,309,41,35,0
310,41,MSM,36,GenPop Male,0,,,310,41,36,0
311,41,MSM,37,GenPop Female,0,,,311,41,37,0
312,41,MSM,38,FSW,0,,,312,41,38,0
313,41,MSM,39,IDU male,0,,,313,41,39,0
314,41,MSM,40,IDU female,0,,,314,41,40,0
315,41,MSM,41,MSM,0,,,315,41,41,0
316,41,MSM,42,Death,1,,,316,41,42,1
317,42,Death,35,Uninitialized,0,,,317,42,35,0
318,42,Death,36,GenPop Male,0,,,318,42,36,0
319,42,Death,37,GenPop Female,0,,,319,42,37,0
320,42,Death,38,FSW,0,,,320,42,38,0
321,42,Death,39,IDU male,0,,,321,42,39,0
322,42,Death,40,IDU female,0,,,322,42,40,0
323,42,Death,41,MSM,1,,,323,42,41,1
324,42,Death,42,Death,0,,,324,42,42,0
325,43,Uninitialized,43,Uninitialized,0,,,325,43,43,0
326,43,Uninitialized,44,Urban,1,,,326,43,44,1
327,43,Uninitialized,45,Rural,0,,,327,43,45,0
328,43,Uninitialized,46,Death,0,,,328,43,46,0
329,44,Urban,43,Uninitialized,0,,,329,44,43,0
330,44,Urban,44,Urban,0,,,330,44,44,0
331,44,Urban,45,Rural,0,,,331,44,45,0
332,44,Urban,46,Death,1,,,332,44,46,1
333,45,Rural,43,Uninitialized,0,,,333,45,43,0
334,45,Rural,44,Urban,0,,,334,45,44,0
335,45,Rural,45,Rural,1,,,335,45,45,1
336,45,Rural,46,Death,0,,,336,45,46,0
337,46,Death,43,Uninitialized,0,,,337,46,43,0
338,46,Death,44,Urban,0,,,338,46,44,0
339,46,Death,45,Rural,1,,,339,46,45,1
340,46,Death,46,Death,0,,,340,46,46,0
341,47,Uninitialized,47,Uninitialized,0,,,341,47,47,0
342,47,Uninitialized,48,Pre-diabetes,0,,,342,47,48,0
343,47,Uninitialized,49,"Uncomplicated diabetes, untreated",0,,,343,47,49,0
344,47,Uninitialized,50,"Uncomplicated diabetes, treated",0,,,344,47,50,0
345,47,Uninitialized,51,"Complicated diabetes, untreated (non-CVD)",1,,,345,47,51,1
346,47,Uninitialized,52,"Complicated diabetes, untreated (CVD)",0,,,346,47,52,0
347,47,Uninitialized,53,"Complicated diabetes, treated (non-CVD)",0,,,347,47,53,0
348,47,Uninitialized,54,"Complicated diabetes, treated (CVD)",0,,,348,47,54,0
349,47,Uninitialized,55,Death,0,,,349,47,55,0
350,48,Pre-diabetes,47,Uninitialized,0,,,350,48,47,0
351,48,Pre-diabetes,48,Pre-diabetes,0,,,351,48,48,0
352,48,Pre-diabetes,49,"Uncomplicated diabetes, untreated",0,,,352,48,49,0
353,48,Pre-diabetes,50,"Uncomplicated diabetes, treated",0,,,353,48,50,0
354,48,Pre-diabetes,51,"Complicated diabetes, untreated (non-CVD)",0,,,354,48,51,0
355,48,Pre-diabetes,52,"Complicated diabetes, untreated (CVD)",0,,,355,48,52,0
356,48,Pre-diabetes,53,"Complicated diabetes, treated (non-CVD)",0,,,356,48,53,0
357,48,Pre-diabetes,54,"Complicated diabetes, treated (CVD)",0,,,357,48,54,0
358,48,Pre-diabetes,55,Death,1,,,358,48,55,1
359,49,"Uncomplicated diabetes, untreated",47,Uninitialized,1,,,359,49,47,1
360,49,"Uncomplicated diabetes, untreated",48,Pre-diabetes,0,,,360,49,48,0
361,49,"Uncomplicated diabetes, untreated",49,"Uncomplicated diabetes, untreated",0,,,361,49,49,0
362,49,"Uncomplicated diabetes, untreated",50,"Uncomplicated diabetes, treated",0,,,362,49,50,0
363,49,"Uncomplicated diabetes, untreated",51,"Complicated diabetes, untreated (non-CVD)",0,,,363,49,51,0
364,49,"Uncomplicated diabetes, untreated",52,"Complicated diabetes, untreated (CVD)",0,,,364,49,52,0
365,49,"Uncomplicated diabetes, untreated",53,"Complicated diabetes, treated (non-CVD)",0,,,365,49,53,0
366,49,"Uncomplicated diabetes, untreated",54,"Complicated diabetes, treated (CVD)",0,,,366,49,54,0
367,49,"Uncomplicated diabetes, untreated",55,Death,0,,,367,49,55,0
368,50,"Uncomplicated diabetes, treated",47,Uninitialized,0,,,368,50,47,0
369,50,"Uncomplicated diabetes, treated",48,Pre-diabetes,0,,,369,50,48,0
370,50,"Uncomplicated diabetes, treated",49,"Uncomplicated diabetes, untreated",1,,,370,50,49,1
371,50,"Uncomplicated diabetes, treated",50,"Uncomplicated diabetes, treated",0,,,371,50,50,0
372,50,"Uncomplicated diabetes, treated",51,"Complicated diabetes, untreated (non-CVD)",0,,,372,50,51,0
373,50,"Uncomplicated diabetes, treated",52,"Complicated diabetes, untreated (CVD)",0,,,373,50,52,0
374,50,"Uncomplicated diabetes, treated",53,"Complicated diabetes, treated (non-CVD)",0,,,374,50,53,0
375,50,"Uncomplicated diabetes, treated",54,"Complicated diabetes, treated (CVD)",0,,,375,50,54,0
376,50,"Uncomplicated diabetes, treated",55,Death,0,,,376,50,55,0
377,51,"Complicated diabetes, untreated (non-CVD)",47,Uninitialized,0,,,377,51,47,0
378,51,"Complicated diabetes, untreated (non-CVD)",48,Pre-diabetes,0,,,378,51,48,0
379,51,"Complicated diabetes, untreated (non-CVD)",49,"Uncomplicated diabetes, untreated",0,,,379,51,49,0
380,51,"Complicated diabetes, untreated (non-CVD)",50,"Uncomplicated diabetes, treated",0,,,380,51,50,0
381,51,"Complicated diabetes, untreated (non-CVD)",51,"Complicated diabetes, untreated (non-CVD)",1,,,381,51,51,1
382,51,"Complicated diabetes, untreated (non-CVD)",52,"Complicated diabetes, untreated (CVD)",0,,,382,51,52,0
383,51,"Complicated diabetes, untreated (non-CVD)",53,"Complicated diabetes, treated (non-CVD)",0,,,383,51,53,0
384,51,"Complicated diabetes, untreated (non-CVD)",54,"Complicated diabetes, treated (CVD)",0,,,384,51,54,0
385,51,"Complicated diabetes, untreated (non-CVD)",55,Death,0,,,385,51,55,0
386,52,"Complicated diabetes, untreated (CVD)",47,Uninitialized,0,,,386,52,47,0
387,52,"Complicated diabetes, untreated (CVD)",48,Pre-diabetes,0,,,387,52,48,0
388,52,"Complicated diabetes, untreated (CVD)",49,"Uncomplicated diabetes, untreated",0,,,388,52,49,0
389,52,"Complicated diabetes, untreated (CVD)",50,"Uncomplicated diabetes, treated",0,,,389,52,50,0
390,52,"Complicated diabetes, untreated (CVD)",51,"Complicated diabetes, untreated (non-CVD)",0,,,390,52,51,0
391,52,"Complicated diabetes, untreated (CVD)",52,"Complicated diabetes, untreated (CVD)",0,,,391,52,52,0
392,52,"Complicated diabetes, untreated (CVD)",53,"Complicated diabetes, treated (non-CVD)",1,,,392,52,53,1
393,52,"Complicated diabetes, untreated (CVD)",54,"Complicated diabetes, treated (CVD)",0,,,393,52,54,0
394,52,"Complicated diabetes, untreated (CVD)",55,Death,0,,,394,52,55,0
395,53,"Complicated diabetes, treated (non-CVD)",47,Uninitialized,0,,,395,53,47,0
396,53,"Complicated diabetes, treated (non-CVD)",48,Pre-diabetes,0,,,396,53,48,0
397,53,"Complicated diabetes, treated (non-CVD)",49,"Uncomplicated diabetes, untreated",0,,,397,53,49,0
398,53,"Complicated diabetes, treated (non-CVD)",50,"Uncomplicated diabetes, treated",0,,,398,53,50,0
399,53,"Complicated diabetes, treated (non-CVD)",51,"Complicated diabetes, untreated (non-CVD)",0,,,399,53,51,0
400,53,"Complicated diabetes, treated (non-CVD)",52,"Complicated diabetes, untreated (CVD)",1,,,400,53,52,1
401,53,"Complicated diabetes, treated (non-CVD)",53,"Complicated diabetes, treated (non-CVD)",0,,,401,53,53,0
402,53,"Complicated diabetes, treated (non-CVD)",54,"Complicated diabetes, treated (CVD)",0,,,402,53,54,0
403,53,"Complicated diabetes, treated (non-CVD)",55,Death,0,,,403,53,55,0
404,54,"Complicated diabetes, treated (CVD)",47,Uninitialized,0,,,404,54,47,0
405,54,"Complicated diabetes, treated (CVD)",48,Pre-diabetes,0,,,405,54,48,0
406,54,"Complicated diabetes, treated (CVD)",49,"Uncomplicated diabetes, untreated",0,,,406,54,49,0
407,54,"Complicated diabetes, treated (CVD)",50,"Uncomplicated diabetes, treated",0,,,407,54,50,0
408,54,"Complicated diabetes, treated (CVD)",51,"Complicated diabetes, untreated (non-CVD)",0,,,408,54,51,0
409,54,"Complicated diabetes, treated (CVD)",52,"Complicated diabetes, untreated (CVD)",0,,,409,54,52,0
410,54,"Complicated diabetes, treated (CVD)",53,"Complicated diabetes, treated (non-CVD)",0,,,410,54,53,0
411,54,"Complicated diabetes, treated (CVD)",54,"Complicated diabetes, treated (CVD)",1,,,411,54,54,1
412,54,"Complicated diabetes, treated (CVD)",55,Death,0,,,412,54,55,0
413,55,Death,47,Uninitialized,0,,,413,55,47,0
414,55,Death,48,Pre-diabetes,0,,,414,55,48,0
415,55,Death,49,"Uncomplicated diabetes, untreated",0,,,415,55,49,0
416,55,Death,50,"Uncomplicated diabetes, treated",0,,,416,55,50,0
417,55,Death,51,"Complicated diabetes, untreated (non-CVD)",0,,,417,55,51,0
418,55,Death,52,"Complicated diabetes, untreated (CVD)",1,,,418,55,52,1
419,55,Death,53,"Complicated diabetes, treated (non-CVD)",0,,,419,55,53,0
420,55,Death,54,"Complicated diabetes, treated (CVD)",0,,,420,55,54,0
421,55,Death,55,Death,0,,,421,55,55,0
