Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age_low,Age_high,Probability
6,Physical activity,40,Inactive,34,31,85,110,0.801
6,Physical activity,40,Inactive,34,29,18,24,0.342
6,Physical activity,40,Inactive,34,29,25,44,0.413
6,Physical activity,40,Inactive,34,29,45,54,0.479
6,Physical activity,40,Inactive,34,29,55,64,0.522
6,Physical activity,40,Inactive,34,29,65,74,0.563
6,Physical activity,40,Inactive,34,29,75,84,0.628
6,Physical activity,40,Inactive,34,29,85,110,0.788
6,Physical activity,40,Inactive,34,30,18,24,0.392
6,Physical activity,40,Inactive,34,30,25,44,0.485
6,Physical activity,40,Inactive,34,30,45,54,0.575
6,Physical activity,40,Inactive,34,30,55,64,0.627
6,Physical activity,40,Inactive,34,30,65,74,0.709
6,Physical activity,40,Inactive,34,30,75,84,0.806
6,Physical activity,40,Inactive,34,30,85,110,0.806
6,Physical activity,40,Inactive,35,31,18,24,0.637
6,Physical activity,40,Inactive,35,31,25,44,0.628
6,Physical activity,40,Inactive,35,31,45,54,0.673
6,Physical activity,40,Inactive,35,31,55,64,0.717
6,Physical activity,40,Inactive,35,31,65,74,0.768
6,Physical activity,40,Inactive,35,31,75,84,0.853
6,Physical activity,40,Inactive,35,31,85,110,0.853
6,Physical activity,40,Inactive,35,29,18,24,0.455
6,Physical activity,40,Inactive,35,29,25,44,0.468
6,Physical activity,40,Inactive,35,29,45,54,0.523
6,Physical activity,40,Inactive,35,29,55,64,0.586
6,Physical activity,40,Inactive,35,29,65,74,0.641
6,Physical activity,40,Inactive,35,29,75,84,0.759
6,Physical activity,40,Inactive,35,29,85,110,0.888
6,Physical activity,40,Inactive,35,30,18,24,0.648
6,Physical activity,40,Inactive,35,30,25,44,0.62
6,Physical activity,40,Inactive,35,30,45,54,0.716
6,Physical activity,40,Inactive,35,30,55,64,0.753
6,Physical activity,40,Inactive,35,30,65,74,0.797
6,Physical activity,40,Inactive,35,30,75,84,0.88
6,Physical activity,40,Inactive,35,30,85,110,0.88
3,BMI,25,Overweight,34,31,20,44,0.395
3,BMI,25,Overweight,34,31,45,64,0.438
3,BMI,25,Overweight,34,31,65,74,0.428
3,BMI,25,Overweight,34,31,75,110,0.428
3,BMI,25,Overweight,34,29,18,44,0.357
3,BMI,25,Overweight,34,29,45,64,0.408
3,BMI,25,Overweight,34,29,65,74,0.425
3,BMI,25,Overweight,34,29,75,110,0.425
3,BMI,25,Overweight,34,30,18,44,0.287
3,BMI,25,Overweight,34,30,45,64,0.343
3,BMI,25,Overweight,34,30,65,74,0.37
3,BMI,25,Overweight,34,30,75,110,0.37
3,BMI,25,Overweight,35,31,18,44,0.332
3,BMI,25,Overweight,35,31,45,64,0.329
3,BMI,25,Overweight,35,31,65,74,0.33
3,BMI,25,Overweight,35,31,75,110,0.33
3,BMI,25,Overweight,35,29,18,44,0.253
3,BMI,25,Overweight,35,29,45,64,0.326
3,BMI,25,Overweight,35,29,65,74,0.295
3,BMI,25,Overweight,35,29,75,110,0.295
3,BMI,25,Overweight,35,30,18,44,0.223
3,BMI,25,Overweight,35,30,45,64,0.271
3,BMI,25,Overweight,35,30,65,74,0.258
3,BMI,25,Overweight,35,30,75,110,0.258
3,BMI,26,Obese,34,31,20,44,0.368
3,BMI,26,Obese,34,31,45,64,0.41
3,BMI,26,Obese,34,31,65,74,0.447
3,BMI,26,Obese,34,31,75,110,0.447
3,BMI,26,Obese,34,29,18,44,0.316
3,BMI,26,Obese,34,29,45,64,0.39
3,BMI,26,Obese,34,29,65,74,0.369
3,BMI,26,Obese,34,29,75,110,0.369
3,BMI,26,Obese,34,30,18,44,0.369
3,BMI,26,Obese,34,30,45,64,0.406
3,BMI,26,Obese,34,30,65,74,0.367
3,BMI,26,Obese,34,30,75,110,0.367
3,BMI,26,Obese,35,31,18,44,0.368
3,BMI,26,Obese,35,31,45,64,0.529
3,BMI,26,Obese,35,31,65,74,0.493
3,BMI,26,Obese,35,31,75,110,0.493
3,BMI,26,Obese,35,29,18,44,0.28
3,BMI,26,Obese,35,29,45,64,0.374
3,BMI,26,Obese,35,29,65,74,0.443
3,BMI,26,Obese,35,29,75,110,0.443
3,BMI,26,Obese,35,30,18,44,0.561
3,BMI,26,Obese,35,30,45,64,0.618
3,BMI,26,Obese,35,30,65,74,0.537
3,BMI,26,Obese,35,30,75,110,0.537
3,BMI,24,Healthy weight,34,31,20,44,0.237
3,BMI,24,Healthy weight,34,31,45,64,0.152
3,BMI,24,Healthy weight,34,31,65,74,0.125
3,BMI,24,Healthy weight,34,31,75,110,0.125
3,BMI,24,Healthy weight,34,29,18,44,0.327
3,BMI,24,Healthy weight,34,29,45,64,0.202
3,BMI,24,Healthy weight,34,29,65,74,0.206
3,BMI,24,Healthy weight,34,29,75,110,0.206
3,BMI,24,Healthy weight,34,30,18,44,0.344
3,BMI,24,Healthy weight,34,30,45,64,0.251
3,BMI,24,Healthy weight,34,30,65,74,0.263
3,BMI,24,Healthy weight,34,30,75,110,0.263
3,BMI,24,Healthy weight,35,31,18,44,0.3
3,BMI,24,Healthy weight,35,31,45,64,0.142
3,BMI,24,Healthy weight,35,31,65,74,0.177
3,BMI,24,Healthy weight,35,31,75,110,0.177
3,BMI,24,Healthy weight,35,29,18,44,0.467
3,BMI,24,Healthy weight,35,29,45,64,0.3
3,BMI,24,Healthy weight,35,29,65,74,0.262
3,BMI,24,Healthy weight,35,29,75,110,0.262
3,BMI,24,Healthy weight,35,30,18,44,0.216
3,BMI,24,Healthy weight,35,30,45,64,0.111
3,BMI,24,Healthy weight,35,30,65,74,0.205
3,BMI,24,Healthy weight,35,30,75,110,0.205
2,T2DM,19,T2DM,34,31,18,24,0.009
3,T2DM,19,T2DM,34,31,25,44,0.035
4,T2DM,19,T2DM,34,31,45,54,0.142
5,T2DM,19,T2DM,34,31,55,64,0.258
6,T2DM,19,T2DM,34,31,65,74,0.328
7,T2DM,19,T2DM,34,31,75,84,0.313
8,T2DM,19,T2DM,34,31,85,110,0.238
9,T2DM,19,T2DM,34,29,18,24,0.009
10,T2DM,19,T2DM,34,29,25,44,0.024
11,T2DM,19,T2DM,34,29,45,54,0.082
12,T2DM,19,T2DM,34,29,55,64,0.147
13,T2DM,19,T2DM,34,29,65,74,0.201
14,T2DM,19,T2DM,34,29,75,84,0.205
15,T2DM,19,T2DM,34,29,85,110,0.179
16,T2DM,19,T2DM,34,30,18,24,0.01
17,T2DM,19,T2DM,34,30,25,44,0.05
18,T2DM,19,T2DM,34,30,45,54,0.15
19,T2DM,19,T2DM,34,30,55,64,0.24
20,T2DM,19,T2DM,34,30,65,74,0.265
21,T2DM,19,T2DM,34,30,75,84,0.39
22,T2DM,19,T2DM,34,30,85,110,0.187
23,T2DM,19,T2DM,35,31,18,24,0.009
24,T2DM,19,T2DM,35,31,25,44,0.036
25,T2DM,19,T2DM,35,31,45,54,0.103
26,T2DM,19,T2DM,35,31,55,64,0.24
27,T2DM,19,T2DM,35,31,65,74,0.348
28,T2DM,19,T2DM,35,31,75,84,0.324
29,T2DM,19,T2DM,35,31,85,110,0.228
30,T2DM,19,T2DM,35,29,18,24,0.012
31,T2DM,19,T2DM,35,29,25,44,0.028
32,T2DM,19,T2DM,35,29,45,54,0.073
33,T2DM,19,T2DM,35,29,55,64,0.121
34,T2DM,19,T2DM,35,29,65,74,0.17
35,T2DM,19,T2DM,35,29,75,84,0.171
36,T2DM,19,T2DM,35,29,85,110,0.121
37,T2DM,19,T2DM,35,30,18,24,0.01
38,T2DM,19,T2DM,35,30,25,44,0.052
39,T2DM,19,T2DM,35,30,45,54,0.109
40,T2DM,19,T2DM,35,30,55,64,0.241
41,T2DM,19,T2DM,35,30,65,74,0.326
42,T2DM,19,T2DM,35,30,75,84,0.316
43,T2DM,19,T2DM,35,30,85,110,0.202
44,T2DM,18,No T2DM,34,31,18,24,0.991
45,T2DM,18,No T2DM,34,31,25,44,0.965
46,T2DM,18,No T2DM,34,31,45,54,0.858
47,T2DM,18,No T2DM,34,31,55,64,0.742
48,T2DM,18,No T2DM,34,31,65,74,0.672
49,T2DM,18,No T2DM,34,31,75,84,0.687
50,T2DM,18,No T2DM,34,31,85,110,0.762
51,T2DM,18,No T2DM,34,29,18,24,0.991
52,T2DM,18,No T2DM,34,29,25,44,0.976
53,T2DM,18,No T2DM,34,29,45,54,0.918
54,T2DM,18,No T2DM,34,29,55,64,0.853
55,T2DM,18,No T2DM,34,29,65,74,0.799
56,T2DM,18,No T2DM,34,29,75,84,0.795
57,T2DM,18,No T2DM,34,29,85,110,0.821
58,T2DM,18,No T2DM,34,30,18,24,0.99
59,T2DM,18,No T2DM,34,30,25,44,0.95
60,T2DM,18,No T2DM,34,30,45,54,0.85
61,T2DM,18,No T2DM,34,30,55,64,0.76
62,T2DM,18,No T2DM,34,30,65,74,0.735
63,T2DM,18,No T2DM,34,30,75,84,0.61
64,T2DM,18,No T2DM,34,30,85,110,0.813
65,T2DM,18,No T2DM,35,31,18,24,0.991
66,T2DM,18,No T2DM,35,31,25,44,0.964
67,T2DM,18,No T2DM,35,31,45,54,0.897
68,T2DM,18,No T2DM,35,31,55,64,0.76
69,T2DM,18,No T2DM,35,31,65,74,0.652
70,T2DM,18,No T2DM,35,31,75,84,0.676
71,T2DM,18,No T2DM,35,31,85,110,0.772
72,T2DM,18,No T2DM,35,29,18,24,0.988
73,T2DM,18,No T2DM,35,29,25,44,0.972
74,T2DM,18,No T2DM,35,29,45,54,0.927
75,T2DM,18,No T2DM,35,29,55,64,0.879
76,T2DM,18,No T2DM,35,29,65,74,0.83
77,T2DM,18,No T2DM,35,29,75,84,0.829
78,T2DM,18,No T2DM,35,29,85,110,0.879
79,T2DM,18,No T2DM,35,30,18,24,0.99
80,T2DM,18,No T2DM,35,30,25,44,0.948
81,T2DM,18,No T2DM,35,30,45,54,0.891
82,T2DM,18,No T2DM,35,30,55,64,0.759
83,T2DM,18,No T2DM,35,30,65,74,0.674
84,T2DM,18,No T2DM,35,30,75,84,0.684
85,T2DM,18,No T2DM,35,30,85,110,0.798
